,Ranking,Move,Player,Age,Points,Tourn Played,Points Dropping,Next Best
0,1,0,Novak Djokovic,31,11070,18,0,0
1,2,0,Rafael Nadal,32,8725,16,0,0
2,3,0,Alexander Zverev,21,6040,20,0,0
3,4,0,Roger Federer,37,5590,17,0,0
4,5,0,Dominic Thiem,25,4765,24,0,0
5,6,0,Kei Nishikori,29,4200,23,0,0
6,7,0,Kevin Anderson,32,4115,18,0,0
7,8,0,Stefanos Tsitsipas,20,3240,28,0,0
8,9,0,Juan Martin del Potro,30,3225,14,0,0
9,10,0,John Isner,33,3085,23,0,0
10,11,0,Marin Cilic,30,3015,18,0,0
11,12,0,Karen Khachanov,22,2810,24,0,0
12,13,0,Borna Coric,22,2345,20,0,0
13,14,0,Daniil Medvedev,23,2295,27,0,0
14,15,0,Milos Raonic,28,2140,21,0,0
15,16,0,Marco Cecchinato,26,2021,29,0,0
16,17,0,Nikoloz Basilashvili,27,1930,29,0,0
17,18,0,Fabio Fognini,31,1885,25,0,0
18,19,0,Gael Monfils,32,1875,21,0,0
19,20,0,Denis Shapovalov,19,1820,27,0,0
20,21,0,David Goffin,28,1765,23,0,0
21,22,0,Kyle Edmund,24,1680,24,150,45
22,23,0,Roberto Bautista Agut,30,1680,23,0,0
23,24,0,Diego Schwartzman,26,1485,26,0,0
24,25,0,Alex de Minaur,20,1439,25,0,0
25,26,0,Richard Gasquet,32,1375,20,90,0
26,27,0,Gilles Simon,34,1340,27,45,20
27,28,0,Pablo Carreno Busta,27,1300,19,0,0
28,29,0,Grigor Dimitrov,27,1300,18,0,0
29,30,0,Frances Tiafoe,21,1290,24,0,0
30,31,0,Lucas Pouille,25,1275,21,0,0
31,32,0,Laslo Djere,23,1246,24,0,0
32,33,0,Felix Auger-Aliassime,18,1245,29,0,0
33,34,0,Guido Pella,28,1240,27,45,10
34,35,0,Nick Kyrgios,23,1215,23,0,0
35,36,0,Stan Wawrinka,34,1185,20,0,0
36,37,0,Marton Fucsovics,27,1180,28,0,0
37,38,0,Fernando Verdasco,35,1155,26,0,0
38,39,0,Steve Johnson,29,1125,24,250,0
39,40,0,John Millman,29,1095,25,0,0
40,41,0,Philipp Kohlschreiber,35,1070,25,0,0
41,42,0,Jeremy Chardy,32,1055,27,0,0
42,43,0,Joao Sousa,30,1027,28,90,0
43,44,0,Mikhail Kukushkin,31,1025,23,0,0
44,45,0,Jan-Lennard Struff,28,990,25,0,0
45,46,0,Radu Albot,29,987,31,20,10
46,47,0,Andreas Seppi,35,970,28,0,0
47,48,0,Dusan Lajovic,28,950,26,0,0
48,49,0,Martin Klizan,29,947,21,7,0
49,50,0,Pierre-Hugues Herbert,28,944,24,0,0
50,51,0,Matthew Ebden,31,941,27,10,0
51,52,0,Hubert Hurkacz,22,934,24,0,0
52,53,0,Damir Dzumhur,26,930,29,0,0
53,54,0,Matteo Berrettini,22,927,27,0,0
54,55,0,Cameron Norrie,23,925,23,0,0
55,56,0,Reilly Opelka,21,919,19,0,0
56,57,0,Adrian Mannarino,30,915,32,0,0
57,58,0,Taylor Fritz,21,890,25,90,10
58,59,0,Mackenzie McDonald,23,871,26,0,0
59,60,0,Jaume Munar,21,854,27,29,16
60,61,0,Leonardo Mayer,31,850,26,0,0
61,62,0,Robin Haase,32,825,30,0,0
62,63,0,Ugo Humbert,20,819,29,0,0
63,64,1,Yoshihito Nishioka,23,784,23,12,0
64,65,1,Malek Jaziri,35,782,29,45,20
65,66,2,Juan Ignacio Londero,25,782,25,105,9
66,67,0,Jordan Thompson,24,778,30,0,0
67,68,0,Aljaz Bedene,29,765,21,0,0
68,69,0,Benoit Paire,29,763,34,0,0
69,70,0,Pablo Andujar,33,757,24,250,0
70,71,0,Sam Querrey,31,735,22,0,0
71,72,0,Mischa Zverev,31,726,26,20,0
72,73,0,Christian Garin,22,726,21,0,0
73,74,0,Federico Delbonis,28,721,25,0,0
74,75,0,Taro Daniel,26,716,27,0,0
75,76,0,Hugo Dellien,25,713,25,0,0
76,77,0,Ivo Karlovic,40,709,24,90,0
77,78,0,Ernests Gulbis,30,707,17,0,0
78,79,0,Bernard Tomic,26,704,16,0,0
79,80,0,Marius Copil,28,698,24,0,0
80,81,12,Tennys Sandgren,27,693,25,150,0
81,82,1,Prajnesh Gunneswaran,29,688,23,0,0
82,83,1,Pablo Cuevas,33,687,24,0,0
83,84,1,Albert Ramos-Vinolas,31,685,31,0,0
84,85,1,Denis Kudla,26,683,27,32,12
85,86,1,Nicolas Jarry,23,675,24,0,0
86,87,0,Peter Gojowczyk,29,655,26,0,0
87,88,3,Feliciano Lopez,37,655,20,0,0
88,89,1,Miomir Kecmanovic,19,655,26,12,7
89,90,4,Guido Andreozzi,27,655,29,0,0
90,91,2,Daniel Evans,28,655,21,0,0
91,92,2,Andrey Rublev,21,654,25,0,0
92,93,3,Bradley Klahn,28,648,22,0,0
93,94,2,Thomas Fabbiano,29,648,24,0,0
94,95,1,Casper Ruud,20,645,27,0,0
95,96,1,Lloyd Harris,22,633,29,0,0
96,97,0,Tomas Berdych,33,605,17,0,0
97,98,0,Ricardas Berankis,28,601,21,0,0
98,99,21,Alexander Bublik,21,600,28,0,0
99,100,1,Maximilian Marterer,23,594,27,0,0
100,101,1,Jiri Vesely,25,588,24,0,0
101,102,7,Filip Krajinovic,27,576,21,0,0
102,103,2,Lorenzo Sonego,23,573,27,0,0
103,104,2,Denis Istomin,32,571,27,0,0
104,105,2,Pedro Sousa,30,568,30,0,0
105,106,2,Yannick Maden,29,552,27,0,0
106,107,2,Ryan Harrison,26,545,22,20,0
107,108,2,Paolo Lorenzi,37,545,35,0,0
108,109,2,Ilya Ivashka,25,535,21,6,0
109,110,2,Brayden Schnur,23,533,28,0,0
110,111,1,Thiago Monteiro,24,524,32,8,7
111,112,1,Marcel Granollers,32,520,25,0,0
112,113,3,Roberto Carballes Baena,26,518,33,0,0
113,114,1,Elias Ymer,22,509,26,0,0
114,115,2,Guillermo Garcia-Lopez,35,507,30,20,10
115,116,2,Jo-Wilfried Tsonga,33,503,17,0,0
116,117,1,Marco Trungelliti,29,498,21,83,0
117,118,1,Gregoire Barrere,25,490,27,0,0
118,119,1,Alexei Popyrin,19,486,24,0,0
119,120,1,Jozef Kovalik,26,476,14,0,0
120,121,0,Hyeon Chung,22,460,22,0,0
121,122,0,Michael Mmoh,21,453,19,0,0
122,123,0,Evgeny Donskoy,28,452,25,25,7
123,124,0,Sergiy Stakhovsky,33,452,30,0,0
124,125,0,Lukas Lacko,31,452,22,0,0
125,126,0,Henri Laaksonen,27,452,29,20,0
126,127,0,Bjorn Fratangelo,25,450,22,20,0
127,128,0,Matthias Bachinger,32,449,21,10,0
128,129,0,Corentin Moutet,19,445,26,0,0
129,130,8,Peter Polansky,30,437,31,0,0
130,131,1,Kamil Majchrzak,23,431,26,0,0
131,132,1,Vasek Pospisil,28,430,21,0,0
132,133,1,Lukas Rosol,33,426,28,0,0
133,134,1,Jason Jung,29,425,27,25,7
134,135,1,Egor Gerasimov,26,424,23,0,0
135,136,1,Antoine Hoang,23,423,25,0,0
136,137,1,Jack Sock,26,420,16,45,0
137,138,1,Marcos Baghdatis,33,420,21,0,0
138,139,0,Adrian Menendez-Maceiras,33,408,27,18,6
139,140,11,Pedro Martinez,21,407,30,12,7
140,141,1,Ramkumar Ramanathan,24,402,28,75,0
141,142,1,Facundo Bagnis,29,390,25,0,0
142,143,6,Simone Bolelli,33,388,21,48,0
143,144,2,Noah Rubin,23,388,23,6,0
144,145,2,Alex Bolt,26,387,20,0,0
145,146,2,Gianluigi Quinzi,23,384,23,0,0
146,147,2,Luca Vanni,33,381,23,1,0
147,148,2,Tatsuma Ito,30,379,26,45,7
148,149,1,Christopher Eubanks,22,377,25,0,0
149,150,2,Oscar Otte,25,376,29,0,0
150,151,5,Filippo Baldi,23,357,26,0,0
151,152,0,David Ferrer,37,355,15,0,0
152,153,0,Quentin Halys,22,355,30,0,0
153,154,5,Salvatore Caruso,26,353,24,0,0
154,155,1,Stefano Travaglia,27,350,24,0,0
155,156,1,Dennis Novak,25,344,22,0,0
156,157,0,Alessandro Giannessi,28,340,21,7,0
157,158,0,Rogerio Dutra Silva,35,338,22,0,0
158,159,2,Jason Kubler,25,333,15,0,0
159,160,2,James Duckworth,27,332,21,0,0
160,161,2,Marc Polmans,21,332,30,0,0
161,162,2,Yannick Hanfmann,27,327,14,0,0
162,163,1,Ruben Bemelmans,31,326,19,0,0
163,164,1,Soonwoo Kwon,21,325,16,10,0
164,165,12,Marcos Giron,25,318,21,0,0
165,166,0,Daniel Brands,31,317,21,0,0
166,167,52,Dustin Brown,34,317,23,0,0
167,168,2,Sebastian Ofner,22,317,26,0,0
168,169,2,Lorenzo Giustino,27,315,30,0,0
169,170,12,Rudolf Molleker,18,314,20,0,0
170,171,3,Jurgen Zopp,31,313,20,0,0
171,172,0,Alejandro Davidovich Fokina,19,310,22,0,0
172,173,2,Mitchell Krueger,25,308,29,6,0
173,174,5,Mirza Basic,27,307,26,20,0
174,175,4,Gianluca Mager,24,307,28,0,0
175,176,2,Arthur De Greef,27,304,25,0,0
176,177,30,Carlos Berlocq,36,299,19,8,0
177,178,3,Yosuke Watanuki,20,296,14,0,0
178,179,3,Roberto Quiroz,27,295,27,60,0
179,180,7,Andrea Arnaboldi,31,292,28,32,0
180,181,3,Dominik Koepfer,24,291,27,0,0
181,182,4,Hiroki Moriya,28,291,31,0,0
182,183,2,Nikola Milojevic,23,289,23,7,0
